Diplôme (code),"Année 
de  
l'inscription",Version diplôme (code),Diplôme SISE (code),Diplôme SISE (type),Diplôme SISE intitulé 1 (lib.),Diplôme SISE intitulé 2 (lib.),"Diplôme 
intermédiaire
SISE (code)",Diplôme intermédiaire SISE (lib.)
BC2I,2013,101,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2014,101,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2013,102,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2014,102,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2013,104,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2014,104,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2011,111,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BC2I,2011,112,8000101,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,ENSEIGNANT,,
BC2I,2012,112,8000101,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,ENSEIGNANT,,
BC2I,2013,112,8000101,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,ENSEIGNANT,,
BC2I,2014,112,8000101,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,ENSEIGNANT,,
BC2I,2011,114,8000103,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,METIERS DE LA SANTE,,
BC2I,2011,116,8000105,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 2ND NIVEAU,METIERS DE L'ENVIRONNEMENT ET DE L'AMENAGEMENT DURABLES,,
BC2I,2014,215,8000100,C2I,CERTIFICAT INFORMATIQUE ET INTERNET - 1ER NIVEAU,,,
BEIJI1,2010,10,,,,,,
BEIJI1,2011,10,,,,,,
BRIAR1,2010,10,,,,,,
BRIAR1,2011,10,,,,,,
BRIAR1,2012,10,,,,,,
BRIAR1,2013,10,,,,,,
BRIAR1,2014,10,,,,,,
CAGGE,2007,981,8960020,P CONC ENS,AGREGATION GEOGRAPHIE,,,
CAGGE,2008,981,8960020,P CONC ENS,AGREGATION GEOGRAPHIE,,,
CAGGE,2011,981,8960020,P CONC ENS,AGREGATION GEOGRAPHIE,,,
CDOGEO,2007,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2008,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2009,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2010,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2011,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2012,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CDOGEO,2013,981,4200033,DOCT.UNI.G,GEOGRAPHIE,,,
CLGA,2007,41,2005137,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME / GEOMANTIQUE ET AMENAGEMENT,,,
CLGA08,2008,80,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGA08,2009,80,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGA08,2010,80,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGA08,2011,80,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGE,2007,41,2100631,LICENCE (LMD),SCIENCES DE L¿HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,,1001100,SCIENCES de l'HOMME et de la SOCIETE : SC. GEOGRAPHIQUES
CLGE,2007,42,2100631,LICENCE (LMD),SCIENCES DE L¿HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,,,
