ID,Intitulé emploi,ROME lib niveau 1,ROME lib niveau 2,Code ROME,Intitulé ROME,,,,,Type de contrat,Niveau emploi,Type employeur,Secteur d'activité,Effectifs de l'entreprise,,,Salaire,,Mode d'obtention,Durée d'accès,Année_diplôme,Code diplôme,Composante,Mention,Spécialité,,Filière_diplôme
1,Avocat(e),SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 3 à 9,,,2500 et plus,,Candidature spontanée,12 mois et plus,2007,2210677,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,GESTION DES CONTENTIEUX,,DROIT
2,Juriste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ingénieur ou cadre,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 1 à 2,,,1000 à 1500,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2210677,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,GESTION DES CONTENTIEUX,,DROIT
3,Animatreur(trice) sécurité,INDUSTRIE,Hygiène Sécurité Environnement -HSE- industriels,H1303,Intervention technique en Hygiène Sécurité Environnement,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 50 à 199,,,1500 à 2000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,7 à 11 mois,2007,2210326,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",GESTION JURIDIQUE DES RISQUES ET DEVELOPPEMENT DURABLE,,DROIT
4,Juriste contentieux,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 50 à 199,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2007,2210684,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,SECURITE INTERIEURE,,SCIENCES POLITIQUES
5,Avocat(e),SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, Indépendant, Chef d'entreprise",,,Autres activités de service,,,,,,,12 mois et plus,2007,2210677,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,GESTION DES CONTENTIEUX,,DROIT
6,Juriste Gestion Immobilière,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,,,Candidature spontanée,12 mois et plus,2007,2210682,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES
7,Responsable de programme promotion immobiliere,"BANQUE, ASSURANCE, IMMOBILIER",Immobilier,C1503,Management de projet immobilier,,,,,CDI,,Une entreprise privée,,de 10 à 49,,,1500 à 2000,,Réseau de relations personnelles,1 à 3 mois,2007,2210682,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES
8,Professeur des écoles,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2106,Enseignement des écoles,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",,,,1000 à 1500,,Réussite concours administratif,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE
9,Juriste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 1 à 2,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210327,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'ENTREPRISE,,DROIT
10,Private banker assitant,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1201,Accueil et services bancaires,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Activités financières et d'assurance,de 50 à 199,,,,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE
